DATE,CTNQGSP
2005-01-01,201987.1
2005-04-01,204097.8
2005-07-01,205354.2
2005-10-01,209419.5
2006-01-01,217896.9
2006-04-01,218199.4
2006-07-01,219559.4
2006-10-01,223418.0
2007-01-01,232781.0
2007-04-01,234378.3
2007-07-01,236030.4
2007-10-01,234973.0
2008-01-01,247467.5
2008-04-01,243562.6
2008-07-01,237223.9
2008-10-01,227493.3
2009-01-01,234566.4
2009-04-01,232238.0
2009-07-01,232254.7
2009-10-01,234103.7
2010-01-01,232715.4
2010-04-01,235591.2
2010-07-01,236049.7
2010-10-01,234443.7
2011-01-01,229837.2
2011-04-01,233670.8
2011-07-01,233821.3
2011-10-01,235305.7
2012-01-01,238772.4
2012-04-01,240728.1
2012-07-01,241411.7
2012-10-01,242735.6
2013-01-01,240516.6
2013-04-01,239938.9
2013-07-01,242299.8
2013-10-01,243314.6
2014-01-01,240087.1
2014-04-01,244480.8
2014-07-01,248804.4
2014-10-01,253015.6
2015-01-01,257473.1
2015-04-01,260034.0
2015-07-01,259889.4
2015-10-01,260554.6
2016-01-01,262267.0
2016-04-01,263122.1
2016-07-01,263493.1
2016-10-01,265799.0
2017-01-01,266213.8
2017-04-01,271539.9
2017-07-01,273515.9
2017-10-01,275061.1
2018-01-01,277508.2
2018-04-01,278773.9
2018-07-01,283567.3
2018-10-01,282918.8
2019-01-01,285144.6
2019-04-01,287949.6
2019-07-01,289234.2
2019-10-01,290108.0
2020-01-01,286287.4
2020-04-01,257812.1
2020-07-01,278870.0
2020-10-01,282722.1
2021-01-01,285112.4
2021-04-01,293594.7
2021-07-01,298612.2
2021-10-01,308670.9
2022-01-01,312212.0
