DATE,MANQGSP
2005-01-01,336268.1
2005-04-01,338958.0
2005-07-01,344919.0
2005-10-01,347827.6
2006-01-01,353125.7
2006-04-01,357826.8
2006-07-01,358608.4
2006-10-01,367519.1
2007-01-01,370009.1
2007-04-01,375029.1
2007-07-01,381619.2
2007-10-01,387418.9
2008-01-01,389409.2
2008-04-01,393467.9
2008-07-01,391543.0
2008-10-01,388693.5
2009-01-01,388348.1
2009-04-01,387989.4
2009-07-01,390671.2
2009-10-01,395010.6
2010-01-01,400544.4
2010-04-01,408703.1
2010-07-01,416457.2
2010-10-01,418839.7
2011-01-01,414300.3
2011-04-01,429135.9
2011-07-01,425556.8
2011-10-01,433098.9
2012-01-01,436320.5
2012-04-01,442564.2
2012-07-01,446257.8
2012-10-01,446525.2
2013-01-01,448675.7
2013-04-01,450705.9
2013-07-01,456748.1
2013-10-01,461155.1
2014-01-01,457454.6
2014-04-01,464399.0
2014-07-01,475229.0
2014-10-01,484791.6
2015-01-01,490415.3
2015-04-01,498544.3
2015-07-01,499976.6
2015-10-01,506469.1
2016-01-01,505926.1
2016-04-01,512563.1
2016-07-01,519824.2
2016-10-01,520236.9
2017-01-01,521661.3
2017-04-01,527908.8
2017-07-01,536367.8
2017-10-01,543479.2
2018-01-01,552395.3
2018-04-01,563245.3
2018-07-01,567996.0
2018-10-01,572552.7
2019-01-01,582565.6
2019-04-01,591060.1
2019-07-01,598503.3
2019-10-01,600897.8
2020-01-01,600435.8
2020-04-01,544140.4
2020-07-01,586019.7
2020-10-01,599311.4
2021-01-01,610699.8
2021-04-01,629570.1
2021-07-01,642037.7
2021-10-01,663749.8
2022-01-01,673788.5
