DATE,MDNQGSP
2005-01-01,254961.3
2005-04-01,259272.5
2005-07-01,265714.9
2005-10-01,268451.4
2006-01-01,270096.8
2006-04-01,272466.8
2006-07-01,275610.3
2006-10-01,278407.4
2007-01-01,278092.9
2007-04-01,282503.5
2007-07-01,283701.4
2007-10-01,287564.5
2008-01-01,291560.4
2008-04-01,295312.8
2008-07-01,296941.4
2008-10-01,297786.2
2009-01-01,295671.7
2009-04-01,297391.8
2009-07-01,299535.6
2009-10-01,303811.7
2010-01-01,307997.8
2010-04-01,313050.7
2010-07-01,316123.0
2010-10-01,321741.7
2011-01-01,321133.2
2011-04-01,325853.6
2011-07-01,328294.4
2011-10-01,329843.7
2012-01-01,332291.9
2012-04-01,330946.7
2012-07-01,334541.6
2012-10-01,332313.8
2013-01-01,338189.8
2013-04-01,337924.2
2013-07-01,341117.9
2013-10-01,345078.5
2014-01-01,345118.3
2014-04-01,351625.1
2014-07-01,356929.4
2014-10-01,357372.7
2015-01-01,364691.1
2015-04-01,367225.6
2015-07-01,371570.0
2015-10-01,375425.5
2016-01-01,380862.8
2016-04-01,386079.3
2016-07-01,389723.2
2016-10-01,394268.3
2017-01-01,395237.0
2017-04-01,397798.7
2017-07-01,401716.5
2017-10-01,406871.8
2018-01-01,405957.4
2018-04-01,411156.1
2018-07-01,412092.3
2018-10-01,415193.1
2019-01-01,415750.1
2019-04-01,421277.5
2019-07-01,423870.5
2019-10-01,425539.8
2020-01-01,422759.8
2020-04-01,387606.8
2020-07-01,415081.5
2020-10-01,417250.6
2021-01-01,430607.4
2021-04-01,431318.7
2021-07-01,439027.7
2021-10-01,451985.8
2022-01-01,458827.3
