DATE,MENQGSP
2005-01-01,46324.2
2005-04-01,46781.7
2005-07-01,47226.2
2005-10-01,47982.1
2006-01-01,48388.1
2006-04-01,49023.5
2006-07-01,49206.3
2006-10-01,49563.9
2007-01-01,49651.1
2007-04-01,50509.4
2007-07-01,50847.1
2007-10-01,50829.6
2008-01-01,50754.0
2008-04-01,50775.7
2008-07-01,50889.9
2008-10-01,50433.2
2009-01-01,50315.2
2009-04-01,50820.9
2009-07-01,51438.5
2009-10-01,51920.7
2010-01-01,51734.5
2010-04-01,52235.6
2010-07-01,52676.5
2010-10-01,52378.2
2011-01-01,52169.8
2011-04-01,52250.6
2011-07-01,52526.9
2011-10-01,53354.6
2012-01-01,53453.5
2012-04-01,54151.6
2012-07-01,53893.1
2012-10-01,53220.6
2013-01-01,54322.1
2013-04-01,53930.1
2013-07-01,54443.1
2013-10-01,55185.1
2014-01-01,55211.7
2014-04-01,56071.7
2014-07-01,56779.9
2014-10-01,57579.9
2015-01-01,57043.3
2015-04-01,57966.9
2015-07-01,58412.1
2015-10-01,59103.0
2016-01-01,59239.9
2016-04-01,60298.7
2016-07-01,60350.8
2016-10-01,61128.2
2017-01-01,61642.6
2017-04-01,61799.0
2017-07-01,62683.6
2017-10-01,63526.4
2018-01-01,64503.8
2018-04-01,65530.4
2018-07-01,65942.3
2018-10-01,65991.1
2019-01-01,67202.4
2019-04-01,67823.0
2019-07-01,68867.7
2019-10-01,69918.6
2020-01-01,70099.5
2020-04-01,64704.4
2020-07-01,70256.0
2020-10-01,72027.3
2021-01-01,73174.0
2021-04-01,75213.9
2021-07-01,76664.5
2021-10-01,79176.6
2022-01-01,80454.5
