DATE,PANQGSP
2005-01-01,500807.4
2005-04-01,507458.6
2005-07-01,516558.6
2005-10-01,522101.0
2006-01-01,519399.8
2006-04-01,528087.3
2006-07-01,535995.6
2006-10-01,541613.5
2007-01-01,550859.5
2007-04-01,559243.9
2007-07-01,571887.2
2007-10-01,581336.5
2008-01-01,581997.2
2008-04-01,592384.7
2008-07-01,592329.1
2008-10-01,585387.5
2009-01-01,577364.9
2009-04-01,576358.2
2009-07-01,579881.5
2009-10-01,594974.6
2010-01-01,590889.5
2010-04-01,601125.4
2010-07-01,610578.4
2010-10-01,616353.9
2011-01-01,610520.2
2011-04-01,622117.8
2011-07-01,629445.2
2011-10-01,637195.7
2012-01-01,641584.3
2012-04-01,647656.2
2012-07-01,652646.9
2012-10-01,649816.0
2013-01-01,660425.4
2013-04-01,665443.2
2013-07-01,670007.2
2013-10-01,678400.4
2014-01-01,678505.8
2014-04-01,690745.6
2014-07-01,701835.0
2014-10-01,705484.0
2015-01-01,709728.5
2015-04-01,714130.6
2015-07-01,715545.5
2015-10-01,717406.8
2016-01-01,717945.6
2016-04-01,723679.2
2016-07-01,730956.5
2016-10-01,733666.5
2017-01-01,734792.6
2017-04-01,739361.6
2017-07-01,749959.6
2017-10-01,755931.3
2018-01-01,760606.0
2018-04-01,770651.5
2018-07-01,776548.4
2018-10-01,782639.7
2019-01-01,786663.4
2019-04-01,797421.2
2019-07-01,804278.7
2019-10-01,810381.5
2020-01-01,802036.1
2020-04-01,712551.3
2020-07-01,779767.1
2020-10-01,793237.2
2021-01-01,807846.2
2021-04-01,828895.7
2021-07-01,846123.5
2021-10-01,874880.8
2022-01-01,888137.1
